Game,Date,Opp,Home,Win,Runs_For,Runs_Against,Wins,Losses,Streak
1,2018-03-29,NYM,0,0,0.0,0.0,0.0,0.0,0.0
2,2018-03-31,NYM,0,0,4.0,9.0,0.0,1.0,-1.0
3,2018-04-01,NYM,0,1,6.0,15.0,0.0,2.0,-2.0
4,2018-04-02,MIL,0,1,11.0,16.0,1.0,2.0,1.0
5,2018-04-03,MIL,0,0,19.0,20.0,2.0,2.0,2.0
6,2018-04-04,MIL,0,1,23.0,25.0,2.0,3.0,-1.0
7,2018-04-05,ARI,1,0,29.0,25.0,3.0,3.0,1.0
8,2018-04-07,ARI,1,1,30.0,28.0,3.0,4.0,-1.0
9,2018-04-08,ARI,1,0,35.0,31.0,4.0,4.0,1.0
10,2018-04-09,MIL,1,0,36.0,35.0,4.0,5.0,-1.0
11,2018-04-10,MIL,1,1,40.0,40.0,4.0,6.0,-2.0
12,2018-04-11,MIL,1,0,45.0,43.0,5.0,6.0,1.0
13,2018-04-12,CIN,0,1,47.0,46.0,5.0,7.0,-1.0
14,2018-04-13,CIN,0,1,60.0,50.0,6.0,7.0,1.0
15,2018-04-14,CIN,0,1,65.0,53.0,7.0,7.0,2.0
16,2018-04-15,CIN,0,1,71.0,54.0,8.0,7.0,3.0
17,2018-04-17,CHC,0,1,74.0,56.0,9.0,7.0,4.0
18,2018-04-19,CHC,0,0,79.0,59.0,10.0,7.0,5.0
19,2018-04-20,CIN,1,1,84.0,67.0,10.0,8.0,-1.0
20,2018-04-21,CIN,1,1,88.0,69.0,11.0,8.0,1.0
21,2018-04-22,CIN,1,1,92.0,72.0,12.0,8.0,2.0
22,2018-04-24,NYM,1,0,101.0,74.0,13.0,8.0,3.0
23,2018-04-25,NYM,1,1,106.0,80.0,13.0,9.0,-1.0
24,2018-04-26,NYM,1,1,115.0,81.0,14.0,9.0,1.0
25,2018-04-27,PIT,0,0,119.0,84.0,15.0,9.0,2.0
26,2018-04-28,PIT,0,0,124.0,90.0,15.0,10.0,-1.0
27,2018-04-29,PIT,0,0,126.0,96.0,15.0,11.0,-2.0
28,2018-05-01,CHW,1,1,126.0,101.0,15.0,12.0,-3.0
29,2018-05-02,CHW,1,1,129.0,103.0,16.0,12.0,1.0
30,2018-05-04,CHC,1,1,132.0,105.0,17.0,12.0,2.0
31,2018-05-05,CHC,1,1,135.0,107.0,18.0,12.0,3.0
32,2018-05-06,CHC,1,1,143.0,113.0,19.0,12.0,4.0
33,2018-05-07,MIN,1,0,147.0,116.0,20.0,12.0,5.0
34,2018-05-08,MIN,1,0,147.0,122.0,20.0,13.0,-1.0
35,2018-05-10,SDP,0,1,148.0,129.0,20.0,14.0,-2.0
36,2018-05-11,SDP,0,1,150.0,130.0,21.0,14.0,1.0
37,2018-05-12,SDP,0,0,159.0,135.0,22.0,14.0,2.0
38,2018-05-13,SDP,0,0,160.0,137.0,22.0,15.0,-1.0
39,2018-05-15,MIN,0,0,163.0,142.0,22.0,16.0,-2.0
40,2018-05-16,MIN,0,1,164.0,146.0,22.0,17.0,-3.0
41,2018-05-17,PHI,1,0,171.0,151.0,23.0,17.0,1.0
42,2018-05-18,PHI,1,1,173.0,157.0,23.0,18.0,-1.0
43,2018-05-19,PHI,1,0,185.0,161.0,24.0,18.0,1.0
44,2018-05-20,PHI,1,1,191.0,168.0,24.0,19.0,-1.0
45,2018-05-21,KCR,1,1,196.0,169.0,25.0,19.0,1.0
46,2018-05-22,KCR,1,0,202.0,169.0,26.0,19.0,2.0
47,2018-05-23,KCR,1,0,203.0,174.0,26.0,20.0,-1.0
48,2018-05-25,PIT,0,0,205.0,179.0,26.0,21.0,-2.0
49,2018-05-26,PIT,0,1,206.0,187.0,26.0,22.0,-3.0
50,2018-05-27,PIT,0,1,210.0,188.0,27.0,22.0,1.0
51,2018-05-28,MIL,0,0,216.0,192.0,28.0,22.0,2.0
52,2018-05-29,MIL,0,1,219.0,200.0,28.0,23.0,-1.0
53,2018-05-30,MIL,0,0,225.0,201.0,29.0,23.0,1.0
54,2018-05-31,PIT,1,1,227.0,204.0,29.0,24.0,-1.0
55,2018-06-01,PIT,1,0,237.0,212.0,30.0,24.0,1.0
56,2018-06-02,PIT,1,1,237.0,216.0,30.0,25.0,-1.0
57,2018-06-03,PIT,1,1,240.0,218.0,31.0,25.0,1.0
58,2018-06-05,MIA,1,0,245.0,218.0,32.0,25.0,2.0
59,2018-06-06,MIA,1,0,249.0,225.0,32.0,26.0,-1.0
60,2018-06-07,MIA,1,1,252.0,236.0,32.0,27.0,-2.0
61,2018-06-08,CIN,0,1,256.0,237.0,33.0,27.0,1.0
62,2018-06-09,CIN,0,1,263.0,243.0,34.0,27.0,2.0
63,2018-06-10,CIN,0,0,269.0,247.0,35.0,27.0,3.0
64,2018-06-11,SDP,1,1,272.0,253.0,35.0,28.0,-1.0
65,2018-06-12,SDP,1,0,277.0,255.0,36.0,28.0,1.0
66,2018-06-13,SDP,1,0,279.0,259.0,36.0,29.0,-1.0
67,2018-06-15,CHC,1,0,281.0,263.0,36.0,30.0,-2.0
68,2018-06-16,CHC,1,0,286.0,276.0,36.0,31.0,-3.0
69,2018-06-17,CHC,1,1,289.0,282.0,36.0,32.0,-4.0
70,2018-06-18,PHI,0,0,294.0,282.0,37.0,32.0,1.0
71,2018-06-19,PHI,0,1,299.0,288.0,37.0,33.0,-1.0
72,2018-06-20,PHI,0,0,306.0,294.0,38.0,33.0,1.0
73,2018-06-21,MIL,0,0,309.0,298.0,38.0,34.0,-1.0
74,2018-06-22,MIL,0,0,312.0,309.0,38.0,35.0,-2.0
75,2018-06-23,MIL,0,1,313.0,311.0,38.0,36.0,-3.0
76,2018-06-24,MIL,0,1,316.0,313.0,39.0,36.0,1.0
77,2018-06-25,CLE,1,1,324.0,315.0,40.0,36.0,2.0
78,2018-06-26,CLE,1,1,328.0,315.0,41.0,36.0,3.0
79,2018-06-27,CLE,1,0,339.0,317.0,42.0,36.0,4.0
80,2018-06-29,ATL,1,0,340.0,322.0,42.0,37.0,-1.0
81,2018-06-30,ATL,1,0,341.0,327.0,42.0,38.0,-2.0
82,2018-07-01,ATL,1,0,345.0,338.0,42.0,39.0,-3.0
83,2018-07-02,ARI,0,1,350.0,344.0,42.0,40.0,-4.0
84,2018-07-03,ARI,0,0,356.0,347.0,43.0,40.0,1.0
85,2018-07-04,ARI,0,1,358.0,351.0,43.0,41.0,-1.0
86,2018-07-05,SFG,0,1,366.0,355.0,44.0,41.0,1.0
87,2018-07-06,SFG,0,0,377.0,357.0,45.0,41.0,2.0
88,2018-07-07,SFG,0,1,379.0,360.0,45.0,42.0,-1.0
89,2018-07-08,SFG,0,0,382.0,362.0,46.0,42.0,1.0
90,2018-07-10,CHW,0,1,390.0,375.0,46.0,43.0,-1.0
91,2018-07-11,CHW,0,0,404.0,377.0,47.0,43.0,1.0
92,2018-07-13,CIN,1,0,404.0,381.0,47.0,44.0,-1.0
93,2018-07-14,CIN,1,0,405.0,390.0,47.0,45.0,-2.0
94,2018-07-15,CIN,1,1,407.0,398.0,47.0,46.0,-3.0
95,2018-07-19,CHC,0,0,413.0,402.0,48.0,46.0,1.0
96,2018-07-20,CHC,0,1,419.0,411.0,48.0,47.0,-1.0
97,2018-07-21,CHC,0,0,437.0,416.0,49.0,47.0,1.0
98,2018-07-21,CHC,0,1,439.0,423.0,49.0,48.0,-1.0
99,2018-07-22,CHC,0,0,445.0,426.0,50.0,48.0,1.0
100,2018-07-23,CIN,0,0,447.0,433.0,50.0,49.0,-1.0
101,2018-07-24,CIN,0,1,448.0,435.0,50.0,50.0,-2.0
102,2018-07-25,CIN,0,0,452.0,437.0,51.0,50.0,1.0
103,2018-07-27,CHC,1,1,455.0,444.0,51.0,51.0,-1.0
104,2018-07-28,CHC,1,1,460.0,446.0,52.0,51.0,1.0
105,2018-07-29,CHC,1,0,466.0,448.0,53.0,51.0,2.0
106,2018-07-30,COL,1,1,468.0,453.0,53.0,52.0,-1.0
107,2018-07-31,COL,1,0,473.0,457.0,54.0,52.0,1.0
108,2018-08-01,COL,1,1,476.0,463.0,54.0,53.0,-1.0
109,2018-08-02,COL,1,1,482.0,466.0,55.0,53.0,1.0
110,2018-08-03,PIT,0,0,485.0,468.0,56.0,53.0,2.0
111,2018-08-04,PIT,0,1,491.0,475.0,56.0,54.0,-1.0
112,2018-08-05,PIT,0,1,499.0,479.0,57.0,54.0,1.0
113,2018-08-06,MIA,0,0,501.0,480.0,58.0,54.0,2.0
114,2018-08-07,MIA,0,1,502.0,482.0,58.0,55.0,-1.0
115,2018-08-08,MIA,0,1,505.0,484.0,59.0,55.0,1.0
116,2018-08-10,KCR,0,1,512.0,485.0,60.0,55.0,2.0
117,2018-08-11,KCR,0,1,519.0,485.0,61.0,55.0,3.0
118,2018-08-12,KCR,0,1,527.0,488.0,62.0,55.0,4.0
119,2018-08-13,WSN,1,1,535.0,490.0,63.0,55.0,5.0
120,2018-08-14,WSN,1,1,542.0,496.0,64.0,55.0,6.0
121,2018-08-15,WSN,1,1,548.0,500.0,65.0,55.0,7.0
122,2018-08-16,WSN,1,0,552.0,502.0,66.0,55.0,8.0
123,2018-08-17,MIL,1,1,556.0,507.0,66.0,56.0,-1.0
124,2018-08-18,MIL,1,1,561.0,509.0,67.0,56.0,1.0
125,2018-08-19,MIL,1,0,568.0,511.0,68.0,56.0,2.0
126,2018-08-20,LAD,0,1,569.0,513.0,68.0,57.0,-1.0
127,2018-08-21,LAD,0,1,574.0,516.0,69.0,57.0,1.0
128,2018-08-22,LAD,0,1,579.0,518.0,70.0,57.0,2.0
129,2018-08-24,COL,0,1,582.0,519.0,71.0,57.0,3.0
130,2018-08-25,COL,0,0,589.0,524.0,72.0,57.0,4.0
131,2018-08-26,COL,0,1,590.0,533.0,72.0,58.0,-1.0
132,2018-08-28,PIT,1,1,602.0,536.0,73.0,58.0,1.0
133,2018-08-29,PIT,1,0,607.0,538.0,74.0,58.0,2.0
134,2018-08-30,PIT,1,1,607.0,540.0,74.0,59.0,-1.0
135,2018-08-31,CIN,1,1,612.0,540.0,75.0,59.0,1.0
136,2018-09-01,CIN,1,0,624.0,545.0,76.0,59.0,2.0
137,2018-09-02,CIN,1,0,624.0,549.0,76.0,60.0,-1.0
138,2018-09-03,WSN,0,0,628.0,555.0,76.0,61.0,-2.0
139,2018-09-04,WSN,0,1,631.0,559.0,76.0,62.0,-3.0
140,2018-09-05,WSN,0,1,642.0,567.0,77.0,62.0,1.0
141,2018-09-07,DET,0,0,649.0,573.0,78.0,62.0,2.0
142,2018-09-08,DET,0,0,652.0,578.0,78.0,63.0,-1.0
143,2018-09-09,DET,0,1,655.0,582.0,78.0,64.0,-2.0
144,2018-09-10,PIT,1,1,660.0,584.0,79.0,64.0,1.0
145,2018-09-11,PIT,1,1,668.0,591.0,80.0,64.0,2.0
146,2018-09-12,PIT,1,0,679.0,596.0,81.0,64.0,3.0
147,2018-09-13,LAD,1,0,682.0,600.0,81.0,65.0,-1.0
148,2018-09-14,LAD,1,0,689.0,609.0,81.0,66.0,-2.0
149,2018-09-15,LAD,1,0,689.0,612.0,81.0,67.0,-3.0
150,2018-09-16,LAD,1,1,693.0,629.0,81.0,68.0,-4.0
151,2018-09-17,ATL,0,1,698.0,629.0,82.0,68.0,1.0
152,2018-09-18,ATL,0,1,709.0,635.0,83.0,68.0,2.0
153,2018-09-19,ATL,0,0,717.0,636.0,84.0,68.0,3.0
154,2018-09-21,SFG,1,1,720.0,643.0,84.0,69.0,-1.0
155,2018-09-22,SFG,1,1,725.0,646.0,85.0,69.0,1.0
156,2018-09-23,SFG,1,1,730.0,650.0,86.0,69.0,2.0
157,2018-09-24,MIL,1,0,739.0,652.0,87.0,69.0,3.0
158,2018-09-25,MIL,1,0,743.0,658.0,87.0,70.0,-1.0
159,2018-09-26,MIL,1,0,747.0,670.0,87.0,71.0,-2.0
160,2018-09-28,CHC,0,0,748.0,672.0,87.0,72.0,-3.0
161,2018-09-29,CHC,0,1,752.0,680.0,87.0,73.0,-4.0
162,2018-09-30,CHC,0,0,754.0,681.0,88.0,73.0,1.0
